,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
S21: 0.0-5.0,1.0,1.0,1.0,1.0,1.0,0.903125,1.0,1.0,0.778125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66875,1.0,1.0,1.0,1.0,1.0,0.559375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.846875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844093406593406,1.0251355347461804,0.9773025043184319,1.0,0.9932143066732178,1.0261470152935372,0.9755141076920907,1.0350833540681763,0.9684397420432587,1.0053165780570323,0.9899583975720904,1.0,0.9932143066732178,1.0196078431372548,0.9810153879840647,1.0407805854390793,0.9651308761383655,1.0082404265632574,0.9880315102851294,1.0297029702970297,0.9744115330293271,1.0,0.9932143066732178,1.0261470152935372,0.9755141076920909,1.0,0.9932143066732178,1.0082404265632574,0.988031510285129
S21: 5.0-10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.384375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9898695054945057,1.0211094747177223,0.9810964727563135,1.0,0.9950685916725939,1.0,0.9950685916725939,1.0028929604628736,0.9933275598373834,1.0,0.9950685916725939,1.0,0.9950685916725939,1.0,0.9950685916725939,1.052898000506201,0.9548395137910693,1.0,0.995068591672594,1.0211094747177223,0.9810964727563134,1.0,0.995068591672594,1.0,0.995068591672594,1.049709815796114,0.9566248404299407,1.0,0.995068591672594
S21: 10.0-15.0,1.0,1.0,1.0,1.0,1.0,0.7875,1.0,1.0,0.921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7875,1.0,1.0,1.0,1.0,0.434375,1.0,1.0,1.0,1.0,0.7875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7875,0.7875,0.7875,0.7875,0.7875,0.7875,0.7875,1.0,1.0,1.0,1.0,0.15625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9532967032967025,1.0228669781165478,0.9642583855816369,1.0166177908113392,0.9679804550199967,1.0636665814369726,0.9342165622853764,1.0166177908113392,0.9679804550199967,1.0166177908113392,0.9679804550199967,1.0166177908113392,0.9679804550199967,1.2698412698412702,0.8447836176300788,1.08843537414966,0.903783332159202,1.0166177908113392,0.967980455019997,1.0228669781165478,0.9642583855816371,1.0166177908113392,0.967980455019997,1.0636665814369726,0.9342165622853764,1.08843537414966,0.9037833321592018,1.0166177908113392,0.967980455019997
S21: 15.0-20.0,1.0,1.0,1.0,1.0,1.0,0.90625,1.0,1.0,0.01875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.90625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.90625,1.0,1.0,1.0,1.0,0.709375,1.0,1.0,1.0,1.0,0.90625,0.721875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.90625,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.90625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.90625,0.90625,0.890625,0.90625,0.90625,0.90625,0.90625,1.0,1.0,1.0,1.0,0.571875,1.0,1.0,1.0,1.0,1.0,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9640109890109891,1.090146750524109,0.8726773665156028,1.0072639225181599,0.9755885081491934,1.030468169432747,0.9604246986447611,1.0294481563969313,0.9613903143640093,1.0092188258127124,0.9744396086203554,1.0072639225181599,0.9755885081491934,1.1049136786188578,0.9220541516317994,1.0677618069815193,0.936400374968006,1.010199125789218,0.9738134908996213,1.091577013907111,0.8719139520915979,1.0072639225181599,0.9755885081491934,1.030468169432747,0.9604246986447612,1.0418231905835211,0.9520011744992516,1.010199125789218,0.973813490899621
S21: 20.0-25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.240625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.565625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866071428571429,1.001926782273603,0.9916429235877927,1.0,0.9928280690397893,1.0620372734235384,0.9395183295590834,1.0,0.9928280690397893,1.0,0.9928280690397893,1.0,0.9928280690397893,1.0,0.9928280690397893,1.0345685152947028,0.9684317134101738,1.0,0.9928280690397893,1.001926782273603,0.9916429235877927,1.0,0.9928280690397893,1.0620372734235384,0.9395183295590838,1.0345685152947028,0.9684317134101735,1.0,0.9928280690397893
S21: 25.0-30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928228021978023,1.0048309178743962,0.9936523395614185,1.0,0.9966538009304647,1.041041041041041,0.9666196347955027,1.0,0.9966538009304647,1.0,0.9966538009304647,1.0,0.9966538009304647,1.0,0.9966538009304647,1.0060459492140266,0.9928812386695861,1.0,0.9966538009304649,1.0048309178743962,0.9936523395614183,1.0,0.9966538009304647,1.041041041041041,0.9666196347955025,1.0060459492140266,0.9928812386695861,1.0,0.9966538009304647
S21: 30.0-35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.690625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.678125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9930631868131867,1.0,0.9969548623797875,1.0,0.9969548623797875,1.0243782319625707,0.9805849325776885,1.0,0.9969548623797875,1.0,0.9969548623797875,1.0,0.9969548623797875,1.0,0.9969548623797875,1.0253882178949962,0.9798282783595493,1.0,0.9969548623797875,1.0,0.9969548623797875,1.0,0.9969548623797875,1.0243782319625707,0.9805849325776885,1.0253882178949962,0.9798282783595493,1.0,0.9969548623797875
S21: 35.0-40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.465625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.846875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992445054945055,1.0,0.9964254356352529,1.0,0.9964254356352529,1.0428678866883931,0.9647056714597836,1.0,0.996425435635253,1.0,0.996425435635253,1.0,0.996425435635253,1.0,0.996425435635253,1.011919241060569,0.988824991798505,1.0,0.996425435635253,1.0,0.996425435635253,1.0,0.996425435635253,1.0428678866883931,0.9647056714597835,1.011919241060569,0.988824991798505,1.0,0.996425435635253
S21: 40.0-45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.803125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888392857142857,1.0,0.9935314171963253,1.0,0.9935314171963253,1.0672139558748075,0.9323157963988411,1.0,0.9935314171963253,1.0,0.9935314171963253,1.0,0.9935314171963253,1.0,0.9935314171963253,1.015377105198926,0.9835926271533862,1.0,0.9935314171963251,1.0,0.9935314171963251,1.0,0.9935314171963251,1.0672139558748075,0.9323157963988411,1.015377105198926,0.9835926271533865,1.0,0.9935314171963251
S21: 45.0-50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9806318681318681,1.072717895822589,0.9166479445337335,1.0,0.9883561285247132,1.0131514856307842,0.9799300125711609,1.0,0.9883561285247132,1.0,0.9883561285247132,1.0,0.9883561285247132,1.0,0.9883561285247132,1.0579857578840286,0.9404078422410913,1.0,0.9883561285247132,1.072717895822589,0.9166479445337333,1.0,0.9883561285247132,1.0131514856307842,0.9799300125711609,1.0579857578840286,0.9404078422410916,1.0,0.9883561285247132
